CONCAT_ID,PUMA,PWGTP,AGEP
2022GQ016150101,100,72,67
2022GQ016157501,308,21,79
2022GQ016212201,306,50,21
2022GQ016217201,100,91,28
2022GQ016293901,200,45,42
2022GQ016309201,200,7,44
2022GQ016372001,200,38,41
2022GQ016376401,304,46,33
2022GQ016378701,304,36,19
2022GQ016402701,200,43,18
2022GQ016449201,301,80,22
2022GQ016454101,302,86,24
2022GQ016463301,100,109,61
2022GQ016488701,301,68,18
2022GQ016550301,200,20,4
2022GQ016555401,100,5,36
2022GQ016581401,303,5,89
2022GQ016582301,301,98,23
2022GQ016599201,301,16,23
2022GQ016638601,308,10,83
2022GQ016653001,302,74,18
2022GQ016654801,306,42,25
2022GQ016659201,306,91,20
2022GQ016664201,302,98,21
2022GQ016684601,304,67,18
2022GQ016690601,304,52,18
2022GQ016694501,301,27,22
2022GQ016726101,302,19,43
2022GQ016750301,304,74,20
2022GQ016772401,308,1,71
2022GQ016773401,307,7,97
2022GQ016789501,302,20,18
2022GQ016789601,308,182,4
2022GQ016807301,307,4,52
2022GQ016890801,306,38,42
2022GQ016906601,306,66,54
2022GQ016954301,302,24,97
2022GQ017005801,305,23,80
2022GQ017018901,100,102,58
2022GQ017020201,200,10,79
2022GQ017031701,305,116,87
2022GQ017042701,301,32,19
2022GQ017083301,307,85,74
2022GQ017203201,301,24,25
2022GQ017240701,306,90,25
2022GQ017242701,306,49,20
2022GQ017279201,306,48,21
2022GQ017314501,308,9,17
2022GQ017314901,302,33,22
2022GQ017320801,306,20,22
2022GQ017340401,301,17,24
2022GQ017390801,305,39,46
2022GQ017454401,100,105,78
2022GQ017489101,301,78,19
2022GQ017494901,302,10,23
2022GQ017497201,301,56,19
2022GQ017511001,307,67,22
2022GQ017561601,301,70,27
2022GQ017577701,305,88,81
2022GQ017614901,306,23,22
2022GQ017629901,301,28,22
2022GQ017633601,301,83,23
2022GQ017675301,301,34,23
2022GQ017688901,304,80,86
2022GQ017704501,100,41,36
2022GQ017718501,305,12,66
2022GQ017758001,302,290,71
2022GQ017814801,100,4,30
2022GQ017824301,302,26,20
2022GQ017869701,304,3,97
2022GQ017887701,308,102,30
2022GQ017922301,302,152,38
2022GQ017934901,306,61,19
2022GQ017950301,301,19,19
2022GQ017954601,302,5,22
2022GQ017959101,302,26,73
2022GQ018048201,304,3,91
2022GQ018051101,307,3,32
2022GQ018052701,302,51,19
2022GQ018076201,304,32,21
2022GQ018090501,100,5,21
2022GQ018102601,302,76,25
2022GQ018111101,304,73,19
2022GQ018139101,302,55,91
2022GQ018141701,307,69,92
2022GQ018176301,304,81,37
2022GQ018199901,302,65,28
2022HU000016301,307,87,81
2022HU000016302,307,81,81
2022HU000022801,307,72,66
2022HU000022802,307,77,60
2022HU000022803,307,105,26
2022HU000048701,100,141,69
2022HU000086301,307,83,61
2022HU000086302,307,81,62
2022HU000086303,307,89,22
2022HU000086304,307,133,21
2022HU000086305,307,84,58
2022HU000086306,307,115,54
2022HU000161601,200,18,85
2022HU000176101,306,74,46
2022HU000176102,306,72,48
2022HU000179301,304,168,36
2022HU000179302,304,153,44
2022HU000181601,308,255,72
2022HU000183101,307,71,51
2022HU000183102,307,64,51
2022HU000183103,307,62,8
2022HU000185201,302,297,45
2022HU000185202,302,452,48
2022HU000185203,302,324,7
2022HU000185204,302,324,5
2022HU000185205,302,324,14
2022HU000192101,306,46,57
2022HU000205601,302,99,42
2022HU000205602,302,74,47
2022HU000205603,302,102,11
2022HU000205604,302,100,9
2022HU000205605,302,79,8
2022HU000227501,301,33,69
2022HU000227502,301,81,77
2022HU000238601,303,56,52
2022HU000238602,303,54,53
2022HU000238603,303,55,14
2022HU000295501,304,138,35
2022HU000295502,304,156,35
2022HU000300001,307,38,77
2022HU000300002,307,52,50
2022HU000300003,307,84,44
2022HU000350101,304,116,79
2022HU000350102,304,138,77
2022HU000411401,308,77,60
2022HU000411402,308,116,60
2022HU000411403,308,82,48
2022HU000422001,301,93,44
2022HU000422002,301,71,42
2022HU000422003,301,85,0
2022HU000475701,100,24,59
2022HU000475702,100,12,60
2022HU000490701,302,109,41
2022HU000490702,302,149,44
2022HU000490703,302,161,11
2022HU000490704,302,162,9
2022HU000490705,302,162,7
2022HU000546201,301,16,81
2022HU000564301,200,39,87
2022HU000761201,306,56,52
2022HU000761202,306,56,56
2022HU000761203,306,43,26
2022HU000766901,308,218,56
2022HU000769301,305,97,52
2022HU000769302,305,61,51
2022HU000769303,305,85,27
2022HU000769304,305,136,25
2022HU000776901,305,78,54
2022HU000776902,305,65,49
2022HU000776903,305,66,30
2022HU000776904,305,118,21
2022HU000780601,200,48,56
2022HU000780602,200,41,14
2022HU000783901,307,103,91
2022HU000905801,200,109,65
2022HU000905802,200,83,64
2022HU000926301,200,112,28
2022HU000926302,200,114,28
2022HU000926303,200,91,23
2022HU000965701,303,65,46
2022HU000983601,307,36,65
2022HU000983602,307,40,64
2022HU000992001,308,65,36
2022HU000992002,308,36,27
2022HU000992003,308,55,9
2022HU000992004,308,31,3
2022HU001063101,302,104,40
2022HU001063102,302,68,43
2022HU001063103,302,80,21
2022HU001063104,302,67,17
2022HU001063105,302,66,15
2022HU001090201,307,51,55
2022HU001090202,307,58,55
2022HU001101701,303,58,37
2022HU001101702,303,67,49
2022HU001101703,303,52,6
2022HU001101704,303,53,6
2022HU001140601,200,55,82
2022HU001173001,304,121,36
2022HU001173002,304,105,29
2022HU001201601,302,41,60
2022HU001282201,302,80,77
2022HU001284501,200,80,88
2022HU001303001,307,91,40
2022HU001303002,307,86,42
2022HU001303003,307,86,7
2022HU001312001,100,34,62
2022HU001312002,100,23,58
2022HU001312003,100,14,86
2022HU001321801,100,13,64
2022HU001322801,200,40,62
2022HU001358801,305,201,89
2022HU001358802,305,230,85
2022HU001368001,100,58,32
2022HU001368002,100,61,58
2022HU001373701,305,56,56
2022HU001373702,305,68,57
2022HU001394601,303,91,49
2022HU001394602,303,84,49
2022HU001452201,100,55,65
2022HU001527901,305,61,32
2022HU001527902,305,62,26
2022HU001556201,100,227,51
2022HU001556202,100,247,55
2022HU001556203,100,122,83
2022HU001644601,200,65,74
2022HU001644602,200,72,74
